node,deg_centrality,in_deg_centrality,out_deg_centrality,close_centrality,between_centrality,eigenvec_centrality,pagerank
64,1.3166666666666667,0.7083333333333334,0.6083333333333333,0.7741935483870968,0.002630780212889021,0.09881975591751323,0.008704821685726795
13,0.35833333333333334,0.21666666666666667,0.14166666666666666,0.5607476635514018,7.802318896506055e-05,0.031349328680395444,0.003660113440930027
71,1.6,0.7166666666666667,0.8833333333333333,0.7792207792207793,0.003394331492601886,0.09925230700985835,0.008182335462203568
59,1.2666666666666666,0.5916666666666667,0.675,0.7100591715976331,0.002116405131860072,0.08265159326847044,0.006887110638951477
62,1.15,0.625,0.525,0.7272727272727273,0.0011772538652119414,0.08970944865199124,0.007552226507045004
53,1.7333333333333334,0.7916666666666666,0.9416666666666667,0.8275862068965517,0.00589337211508998,0.10924643446240417,0.009329006977661666
58,1.6833333333333333,0.7833333333333333,0.9,0.8163265306122449,0.004885015330932839,0.10767812494845388,0.009136847994001059
107,1.4666666666666666,0.48333333333333334,0.9833333333333333,0.6557377049180327,0.0022515729136712305,0.06542995952581585,0.005427078089724372
15,0.5333333333333333,0.275,0.2583333333333333,0.5797101449275363,0.0003799094349477937,0.03971087053620542,0.004533617356667937
48,1.6916666666666667,0.8166666666666667,0.875,0.8450704225352113,0.005571099214904895,0.11214820753009246,0.010056917053586556
84,1.1833333333333333,0.5083333333333333,0.675,0.6666666666666666,0.0019829144373238812,0.07239151756270681,0.006334426562740388
98,1.2083333333333333,0.5916666666666667,0.6166666666666667,0.7058823529411765,0.0013013075820006907,0.08158313302799805,0.006673041565008059
66,1.0916666666666666,0.6,0.49166666666666664,0.7100591715976331,0.001307728541669114,0.0850811722231385,0.007305119894856941
82,1.5166666666666666,0.65,0.8666666666666667,0.7361963190184049,0.003063163978582234,0.08949548859400142,0.00736119045295109
65,1.4833333333333334,0.675,0.8083333333333333,0.7547169811320755,0.003569185495288091,0.09480169136451484,0.00821355519581466
72,1.4666666666666666,0.6666666666666666,0.8,0.75,0.0024757420493191074,0.09435838858531989,0.007749129800726942
46,1.675,0.825,0.85,0.851063829787234,0.005756929385903588,0.115035448092795,0.01048103485029001
86,1.5833333333333333,0.6166666666666667,0.9666666666666667,0.718562874251497,0.003503655516558937,0.08463523809378003,0.006999964490130036
54,1.5916666666666666,0.7583333333333333,0.8333333333333334,0.8053691275167785,0.003997035112755406,0.10649043407156535,0.009247510124416526
49,0.9833333333333333,0.65,0.3333333333333333,0.7407407407407407,0.0010851732396761505,0.09236890816219594,0.008367008962621346
20,1.525,0.7083333333333334,0.8166666666666667,0.7741935483870968,0.009065367322338843,0.10111333058191116,0.010636912513809441
91,1.1416666666666666,0.4166666666666667,0.725,0.625,0.0010763042072074373,0.05952838716111904,0.005083645549647263
113,1.075,0.44166666666666665,0.6333333333333333,0.6349206349206349,0.0005328461695841874,0.06276792162035678,0.005045089011625458
57,1.7583333333333333,0.7833333333333333,0.975,0.821917808219178,0.006261214469970937,0.10883932314701245,0.009307253932574389
120,0.95,0.48333333333333334,0.4666666666666667,0.6521739130434783,0.0007445189704814272,0.06899547147549047,0.005900364431595955
69,1.3166666666666667,0.6583333333333333,0.6583333333333333,0.7453416149068323,0.0018127864310796093,0.0929791457276964,0.00772672545525966
81,0.9916666666666667,0.5583333333333333,0.43333333333333335,0.6936416184971098,0.0008664089687969735,0.07918245477619064,0.006683568939859434
112,1.3916666666666666,0.4,0.9916666666666667,0.6153846153846154,0.002458867465172501,0.05285536808722099,0.004704772781703443
110,0.9083333333333333,0.4166666666666667,0.49166666666666664,0.6185567010309279,0.0004943986140908127,0.05574895214293813,0.004656357466374566
115,1.1666666666666667,0.43333333333333335,0.7333333333333333,0.6282722513089005,0.0014200241828024843,0.059160209038923044,0.005256480517658672
116,1.2583333333333333,0.43333333333333335,0.825,0.6282722513089005,0.0015647691883403693,0.0588657329341124,0.004931765715789314
75,1.5416666666666667,0.6416666666666666,0.9,0.718562874251497,0.003295223613163026,0.08810205402790693,0.007065588115403667
100,1.2583333333333333,0.5833333333333334,0.675,0.6896551724137931,0.0016589142741426338,0.07950059111425785,0.006550358713943209
